?	?	?	?	?	?	[y-bar = (0.9373410479438518 , 5.514477294993075)]	?	[y2bar = (0.0 , 5.582239144449785)]	?	?	?	?	?	?	[yegvx = (0.0 , 10.92641252160816)]	[class = positive]	0,8169014084507042	0,9471918560934698		0,3884795713328868	0,6115204286671132	0,9921240760935417	0,3884795713328868	0,03222401244513584	0,08294905272515139	0,02895195136202803
?	?	?	?	?	?	[y-bar = (0.7613238699423868 , 5.025643494743145)]	?	[y2bar = (0.0 , 3.85436706494189)]	?	?	?	?	?	?	?	[class = positive]	0,8	0,9836890508415755		0,668235294117647	0,33176470588235296	0,9917196337978891	0,668235294117647	0,03155730873937441	0,04722484582476804	0,029694447439547456
[x-box = (0.8294021105113272 , 15.0)]	?	?	?	?	?	?	?	?	?	[x2ybr = (0.0 , 4.33747009269373)]	?	?	?	?	?	[class = positive]	0,8704225352112676	0,8434842963734166		0,18592057761732853	0,8140794223826715	0,9937308347529813	0,18592057761732853	0,03433524084671371	0,18467692649591644	0,027050357363625724
?	?	[width = (1.5791227389987932 , 14.790056531743305)]	?	?	?	?	?	[y2bar = (0.0 , 5.399938906284127)]	?	?	?	?	?	?	?	[class = positive]	0,9929577464788732	0,48655214298108623		0,07357545397620538	0,9264245460237946	0,9994059641202329	0,07357545397620538	0,03916884271348408	0,5323629090505028	0,018168916860611308
?	?	?	?	?	?	?	?	?	?	?	?	?	[xegvy = (2.2535394549093546 , 7.189439852693466)]	[y-ege = (0.6024589988951945 , 11.479711515506047)]	?	[class = positive]	0,9028169014084507	0,8213893226907282		0,1718959506570126	0,8281040493429874	0,9951646811492642	0,1718959506570126	0,035613089616089784	0,20717817656536475	0,027440607513672485
?	?	[width = (1.277949391921041 , 15.0)]	?	?	?	[y-bar = (0.7878723741221102 , 5.017061787355445)]	?	?	?	?	?	?	?	?	?	[class = positive]	0,8352112676056338	0,9023078257851813		0,2598597721297108	0,7401402278702892	0,9925558312655087	0,2598597721297108	0,03294627479304406	0,1267848213789655	0,027945040103390995
?	?	[width = (1.6218715071911296 , 15.0)]	?	?	?	[y-bar = (0.0 , 5.895012279978248)]	?	?	?	?	?	?	?	?	?	[class = positive]	0,8450704225352113	0,9003412574469316		0,2582866982350409	0,7417133017649591	0,9929829038019903	0,2582866982350409	0,03333518528807156	0,1290627257069837	0,028244094935720963
?	?	?	?	?	?	?	?	[y2bar = (0.0 , 1.2173956491587479)]	?	[x2ybr = (0.5211760337244712 , 2.7117683991628168)]	?	?	?	?	?	[class = positive]	0,2352112676056338	1,0		1,0	0,0	0,9695491251682369	1,0	0,00927829323851325	0,00927829323851325	0,008912295783135484
?	?	?	?	?	?	[y-bar = (0.7365419631535899 , 4.880773677861833)]	?	[y2bar = (0.0 , 2.850042421987176)]	?	?	?	?	?	?	?	[class = positive]	0,5887323943661972	0,9974550292093238		0,9047619047619048	0,09523809523809523	0,9833494896504533	0,9047619047619048	0,02322351241735652	0,0256680926718151	0,02221099251086234
?	?	?	?	?	?	[y-bar = (0.0 , 5.161756827289233)]	?	?	?	[x2ybr = (0.13922625938237193 , 12.043350660901536)]	?	?	?	?	?	[class = positive]	0,8295774647887324	0,9109260223263347		0,2766557069046501	0,72334429309535	0,9923755513547574	0,2766557069046501	0,032724040224456914	0,11828434913050725	0,0280581205687727
?	?	?	?	?	?	?	?	[y2bar = (0.0 , 1.92236153248159)]	?	[x2ybr = (0.49451842144534913 , 2.5730642648628215)]	?	?	?	?	?	[class = positive]	0,2352112676056338	1,0		1,0	0,0	0,9695491251682369	1,0	0,00927829323851325	0,00927829323851325	0,008912295783135484
?	?	?	?	?	?	?	?	[y2bar = (0.7449493925712751 , 15.0)]	?	?	?	?	?	?	?	[class = negative]	0,9903406790444792	0,1028169014084507		0,9641308632242807	0,03586913677571935	0,30416666666666664	0,9641308632242807	0,9512750708372687	0,9866659258847714	0,0035297965097053075
?	?	?	?	?	?	?	?	[y2bar = (0.2392567330502784 , 15.0)]	?	?	?	?	?	?	?	[class = negative]	0,9903406790444792	0,1028169014084507		0,9641308632242807	0,03586913677571935	0,30416666666666664	0,9641308632242807	0,9512750708372687	0,9866659258847714	0,0035297965097053075
?	?	?	?	?	?	[y-bar = (2.024068114906631 , 15.0)]	?	?	?	?	?	?	?	?	?	[class = negative]	0,9842096130487593	0,33943661971830985		0,9731770088647412	0,026822991135258795	0,4688715953307393	0,9731770088647412	0,9453858547697094	0,971442857936552	0,01226314957136232
?	?	?	?	?	?	[y-bar = (5.805682713394472 , 15.0)]	?	?	?	?	?	?	?	?	?	[class = negative]	0,8972757244490717	0,8450704225352113		0,9929590987646418	0,007040901235358126	0,25252525252525254	0,9929590987646418	0,8618812156230902	0,8679926662592367	0,028127940054672895
?	?	?	?	?	?	?	?	[y2bar = (5.520146731903017 , 15.0)]	?	?	?	?	?	?	?	[class = negative]	0,4642836485626699	0,9929577464788732		0,9993774900398407	6,225099601593625E-4	0,07073342028694693	0,9993774900398407	0,4459692205122507	0,4462470137229846	0,017325150271866208
