?	?	?	?	?	?	?	?	?	?	?	?	?	[xegvy = (0.8033442510465661 , 7.344385489573918)]	?	?	[class = positive]	0,9057665260196905	0,7957082538029961		0,15421455938697318	0,8457854406130269	0,9951533564814815	0,15421455938697318	0,035777777777777776	0,232	0,026613777777777778
?	?	?	?	?	?	?	?	[y2bar = (0.0 , 5.728300127299349)]	?	?	?	?	?	?	?	[class = positive]	0,9943741209563994	0,4619121985077217		0,07062937062937064	0,9293706293706294	0,9994993742177722	0,07062937062937064	0,03927777777777778	0,5561111111111111	0,01731138888888889
?	?	?	?	?	?	?	?	?	?	?	?	?	[xegvy = (0.6492470501928642 , 7.453013655359497)]	?	?	[class = positive]	0,9057665260196905	0,7957082538029961		0,15421455938697318	0,8457854406130269	0,9951533564814815	0,15421455938697318	0,035777777777777776	0,232	0,026613777777777778
?	?	?	?	?	?	?	[x2bar = (0.0 , 3.8990253566107236)]	?	?	[x2ybr = (0.0 , 2.9229486207508444)]	?	?	[xegvy = (2.050410479057327 , 10.91306465336099)]	?	?	[class = positive]	0,7510548523206751	0,977673665336341		0,5804347826086956	0,41956521739130437	0,9896370023419204	0,5804347826086956	0,029666666666666668	0,051111111111111114	0,027647777777777778
?	?	?	?	?	?	?	?	[y2bar = (0.0 , 5.806293435037639)]	?	?	?	?	?	?	?	[class = positive]	0,9943741209563994	0,4619121985077217		0,07062937062937064	0,9293706293706294	0,9994993742177722	0,07062937062937064	0,03927777777777778	0,5561111111111111	0,01731138888888889
?	?	?	[high = (0.0 , 11.546016854945455)]	?	?	?	?	[y2bar = (0.0 , 6.254876342383843)]	?	?	?	?	?	?	?	[class = positive]	1,0	0,30418184973104284		0,05580409700965387	0,9441959029903462	1,0	0,05580409700965387	0,0395	0,7078333333333333	0,011540583333333333
?	?	?	?	?	?	?	?	?	?	?	?	?	[xegvy = (0.20785020971830015 , 7.214294322515954)]	?	?	[class = positive]	0,9057665260196905	0,7957082538029961		0,15421455938697318	0,8457854406130269	0,9951533564814815	0,15421455938697318	0,035777777777777776	0,232	0,026613777777777778
?	?	?	?	?	?	?	?	[y2bar = (0.0 , 4.507557200660152)]	?	?	?	?	?	?	?	[class = positive]	0,9535864978902954	0,6300537914280756		0,09584393553859202	0,904156064461408	0,9969796814936848	0,09584393553859202	0,03766666666666667	0,393	0,022143166666666665
?	?	?	?	?	?	?	?	[y2bar = (0.0 , 4.961375886833184)]	?	?	?	?	?	?	?	[class = positive]	0,9535864978902954	0,6300537914280756		0,09584393553859202	0,904156064461408	0,9969796814936848	0,09584393553859202	0,03766666666666667	0,393	0,022143166666666665
?	?	?	?	?	?	[y-bar = (0.0 , 5.182785172877847)]	?	?	?	?	?	?	?	?	?	[class = positive]	0,8424753867791842	0,8971022037133437		0,251892346509672	0,748107653490328	0,9928306234797081	0,251892346509672	0,03327777777777778	0,13211111111111112	0,02805938888888889
?	[y-box = (0.5563514408947883 , 9.635511489032433)]	?	?	?	?	[y-bar = (0.11573225865995156 , 3.030516103072449)]	?	?	?	?	?	[x-ege = (1.9961060036727265 , 2.4686026404729766)]	?	?	?	[class = positive]	0,2742616033755274	0,9995951182833015		0,9653465346534653	0,034653465346534656	0,9710079784245421	0,9653465346534653	0,010833333333333334	0,011222222222222222	0,010390055555555555
