?	?	?	?	?	?	?	?	?	?	[x2ybr = (0.0 , 4.969438195089716)]	?	?	?	?	?	[class = positive]	0,8633802816901408	0,8406501243565273		0,18200712589073634	0,8179928741092637	0,9933702412685395	0,18200712589073634	0,03405744763597977	0,18712150675037503	0,026676133685606625
?	?	?	?	?	?	?	?	[y2bar = (0.0 , 4.232104608959471)]	?	?	?	?	?	?	?	[class = positive]	0,9549295774647887	0,6283764243160391		0,09545262565113333	0,9045473743488667	0,9970631424375918	0,09545262565113333	0,03766875937552086	0,39463303516862047	0,022101813713555164
?	?	?	?	?	?	[y-bar = (0.0 , 7.253209113839839)]	?	[y2bar = (0.0 , 3.408170542828954)]	?	?	?	?	[xegvy = (1.4692517216617034 , 8.651650781722974)]	?	?	[class = positive]	0,856338028169014	0,937532535137949		0,36018957345971564	0,6398104265402843	0,993746551407026	0,36018957345971564	0,033779654425245845	0,09378298794377465	0,03008023104394244
?	?	?	?	?	?	?	?	[y2bar = (0.0 , 4.689498373274976)]	?	?	?	?	?	?	?	[class = positive]	0,9549295774647887	0,6283764243160391		0,09545262565113333	0,9045473743488667	0,9970631424375918	0,09545262565113333	0,03766875937552086	0,39463303516862047	0,022101813713555164
?	?	?	?	?	?	?	?	?	?	?	?	?	[xegvy = (0.3349978470846292 , 7.0169836120217886)]	?	[yegvx = (0.012287369299215714 , 11.931580080855174)]	[class = positive]	0,9056338028169014	0,7962866562554225		0,15438175270108043	0,8456182472989195	0,9951568599103657	0,15438175270108043	0,03572420690038335	0,23140174454136342	0,026596186531231285
[x-box = (0.04057656898758874 , 8.701186852436)]	?	?	?	?	?	?	?	[y2bar = (0.07706392581617612 , 4.433193092943923)]	[xybar = (2.05670223899818 , 13.636178659920027)]	[x2ybr = (0.2590371538390795 , 2.1897533176798887)]	?	?	?	?	?	[class = positive]	0,6112676056338028	0,9962403840592284		0,8697394789579158	0,13026052104208416	0,9842285714285715	0,8697394789579158	0,024112450691705093	0,02772376243124618	0,02301884152863021
[x-box = (0.040376619467474534 , 8.658624031477126)]	?	?	?	?	?	?	?	[y2bar = (0.07667814573909412 , 4.411438946445431)]	[xybar = (2.0682040365985244 , 13.522507359004354)]	[x2ybr = (0.25777023922424025 , 2.17904353941084)]	?	?	?	?	?	[class = positive]	0,6112676056338028	0,9962403840592284		0,8697394789579158	0,13026052104208416	0,9842285714285715	0,8697394789579158	0,024112450691705093	0,02772376243124618	0,02301884152863021
?	?	?	?	?	?	?	?	[y2bar = (0.0 , 4.286852221197998)]	?	?	?	?	[xegvy = (2.6506119077866526 , 14.99996765321743)]	?	?	[class = positive]	0,9492957746478873	0,6298224304471051		0,0952784845914617	0,9047215154085383	0,9967048054919908	0,0952784845914617	0,037446524806933716	0,3930218345463637	0,021943135589315058
?	?	?	?	?	?	?	?	?	[xybar = (3.095036208641777 , 11.758774131353409)]	[x2ybr = (0.23393998287184392 , 2.064515228035723)]	?	?	?	?	?	[class = positive]	0,7028169014084507	0,9759384579790619		0,5453551912568306	0,4546448087431694	0,9876492624678062	0,5453551912568306	0,02772376243124618	0,05083615756430913	0,025718447032020697
?	?	?	?	?	?	?	?	[y2bar = (0.0016586386170758874 , 3.8894009393673237)]	?	[x2ybr = (0.32080624359500187 , 3.295534769991441)]	?	?	?	?	?	[class = positive]	0,6253521126760564	0,9957198218520447		0,8571428571428571	0,14285714285714285	0,9847834792059951	0,8571428571428571	0,024668037113172954	0,028779376632035114	0,023532787521043118
?	?	?	?	?	?	?	?	[y2bar = (0.0 , 4.913078810309859)]	?	?	?	?	?	?	?	[class = positive]	0,9549295774647887	0,6283764243160391		0,09545262565113333	0,9045473743488667	0,9970631424375918	0,09545262565113333	0,03766875937552086	0,39463303516862047	0,022101813713555164
